Country,City,University Name,Language of Study,Tuition,Award,School,Requirements
Ecuador,Quito,Royal Conservatoire of Scotland,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (UTM),Minimum CGPA: 3.0
Vietnam,Hà Nội,Universidad San Francisco de Quito,"English,  Vietnamese",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.50
Russia,Moscow,VinUniversity,"English,  Russian",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC) School of Graduate Studies,"Minimum CGPA: B Language Requirement: depending on course selection, Russian C1 may be required"
South Korea,Seoul,National Research University Higher School of Economics,"English,  Korean",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (undergraduate) or B (graduate).
Ghana,Accra,Sungkyunkwan University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates).
UK (England),London,Ashesi University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George),"Minimum CGPA: 2.25 and 2+ years of study completed (Undergraduates), or B (Graduates)"
UK (England),Leicestershire,Imperial College London,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Kinesiology and Physical Education,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates).
Spain,Barcelona,Loughborough University,"English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,Rotman Commerce,Minimum CGPA: 2.25
Kenya,Nairobi,Esade,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Taiwan,Hsinchu,United States International University Africa,"Chinese,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,School of Graduate Studies,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates).
Kazakhstan,Astana,National Tsing Hua University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,School of Graduate Studies,CGPA: 3.0
Taiwan,Tainan,Nazarbayev University,"Chinese,  English",Program Fees: Miscellaneous fees,Funding: Institutional Excellence Award,School of Graduate Studies,Minimum B average. Each department has a different language requirement.
Finland,Helsinki,National Cheng Kung University,"English,  Finnish,  Swedish",Program Fee: No Charge,Funding: Institutional Excellence Award,Faculty of Music,Minimum CGPA: 2.25 (undergraduate) or B (graduate)
Germany,Berlin,"Sibelius Academy, University of the Arts",English,Program Fees: Campus fee: 280Euros,"Funding: IE Award, DAAD",School of Graduate Studies,Minimum CGPA: B
Hong Kong,Hong Kong,Hertie School,English,"Program Fees: housing, travel insurance and visa application fee to be paid to HKUST",Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
Japan,Tokyo,Hong Kong University of Science &#038; Technology,Japanese,Program Fees: No fees,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Japan,Akita,Nihon University,English,Program Fees: Program Fee &amp; Admission Fee plus deposit,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.5
United States,Varied,Akita International University,English,Program Fee: No Charge,Funding: Killam Fellowship program,All,Minimum CGPA: 3.5
Canada,Toronto,Akita International University,English,"Program Fees: 83,000 Yen",Funding: IE Awards available,All,Minimum CGPA: 2.25; Must have at least 2 semesters of study completed by January 2025.
Kenya,Nairobi,Akita International University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates)
Japan,Nishinomiya,Akita International University,English,Program Fees: Additional program fee required,Funding: IE Awards and JASSO scholarship available,All,Minimum cGPA: 2.25
Mexico,Varied,Kwansei Gakuin University &#8211; Cross Cultural College,"English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.5
UK (England),Sussex,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: Students pay program fees to host institution,Funding: IE Award+ or Bader International Bursary,All,Please refer to the host institution for more information.
Multiple destinations,Multiple destinations,Kwansei Gakuin University &#8211; Cross Cultural College,"English,  Various",Program Fees: No fees,"Funding: All expenses related to the actual ICM would be covered by Faculty of Arts&Science. Students may be asked to contribute financially towards the ICM, but amounts are capped at $200.00.",Arts and Science (St. George),"GPA of 1.5 and above, graduating students cannot sign up for a Summer ICM. ICMs must be supervised by a faculty member at all times. Students must not have already received funding for another FAS International Opportunity (some exceptions apply). Please contact directly if any questions."
Multiple destinations,Multiple destinations,Kwansei Gakuin University &#8211; Cross Cultural College,Various,Program Fees: 125 Application fee + 975 Placement fee,Funding: No,Applied Science and Engineering Arts and Science (St. George),"To participate in the PEY Co-op Program, you must be:"
Taiwan,Multiple cities,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: Program fees paid to Summer Abroad,Funding: Summer Abroad Bursaries,All,At least 8.5 FCEs and other requirements specific to each country opportunity
Multiple destinations,Multiple cities,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: No fees,Funding: IE Award+,"John H. Daniels Faculty of Architecture, Landscape and Design","3 or 4th year, 1.0 FCE of 200-level ARC courses; Open to all streams of the Specialist in Architectural Studies"
Multiple destinations,Multiple cities,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: No fees,Funding: No,"John H. Daniels Faculty of Architecture, Landscape and Design","3 or 4th year, 1.0 FCE at the 200-level in VIS courses and permission of instructor"
Multiple destinations,Nishinomiya,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: Co-op fees and monthly living costs,Funding: No,Arts and Science (UTSC),Minimum GPA: 2.5
Multiple destinations,Multiple destinations,Kwansei Gakuin University &#8211; Cross Cultural College,Various,Program Fees: Co-op fees and monthly living costs,Funding: No,Arts and Science (UTSC),Minimum CGPA of 2.5.
France,Nishinomiya,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: Paid to UofT,Funding: Yes,Faculty of Information,Complete INF3900H taught by the MI Co-op Director. Complete at least 8 courses (4.0 FCE). Maintain good academic standing (A-).
South Africa,Nishinomiya,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: Paid to UofT,Funding: Yes,Faculty of Information,Complete INF3900H taught by the MI Co-op Director. Complete at least 8 courses (4.0 FCE). Maintain good academic standing (A-).
United States,Knoxville,Kwansei Gakuin University &#8211; Cross Cultural College,English,Program Fees: Paid to UofT,Funding: Faculty of Pharmacy: Shaping Student Life and Learning Fund,Leslie Dan Faculty of Pharmacy,Minimum GPA: 3
Japan,Nishinomiya,University of Tennessee College of Pharmacy,English,Program Fees: Varies,Funding: IE Awards and JASSO scholarship available,All,Minimum GPA: 2.25
"Costa Rica, Ecuador, UK (England), France, Germany, Greece, Italy, Portugal, Puerto Rico, Singapore, South Africa, South Korea, Spain, Taiwan",Multiple destinations,University of Tennessee College of Pharmacy,"English,  French,  Portuguese,  Spanish",Program Fees: Program fees paid to Summer Abroad,Funding: See experience for more information,"All Applied Science and Engineering Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC) John H. Daniels Faculty of Architecture, Landscape and Design Faculty of Information Faculty of Law Faculty of Music Leslie Dan Faculty of Pharmacy",Varies depending on destination institution
Multiple destinations,Multiple destinations,University of Tennessee College of Pharmacy,"English,  Italian",Program Fees: Program fees paid to UofT,"Funding: UTM Abroad Bursaries, Residence Experience Bursaries",Arts and Science (UTM),Varies depending on destination institution
